"sample_id","ind_id","Id_num","ind_time","Sampling_day"
"E000823.1.8","E000823",1,1.8,54
"E000823.2.6","E000823",1,2.6,78
"E000823.4.0","E000823",1,4,120
"E000823.5.0","E000823",1,5,150
"E000823.5.7","E000823",1,5.7,171
"E000823.6.7","E000823",1,6.7,201
"E000823.8.5","E000823",1,8.5,255
"E000823.10.5","E000823",1,10.5,315
"E000823.12.5","E000823",1,12.5,375
"E000823.14.0","E000823",1,14,420
"E000823.15.7","E000823",1,15.7,471
"E000823.16.8","E000823",1,16.8,504
"E000823.17.6","E000823",1,17.6,528
"E000823.18.7","E000823",1,18.7,561
"E000823.20.0","E000823",1,20,600
"E000823.22.6","E000823",1,22.6,678
"E000823.24.3","E000823",1,24.3,729
"E000823.25.0","E000823",1,25,750
"E000823.25.7","E000823",1,25.7,771
"E000823.27.7","E000823",1,27.7,831
"E000823.29.6","E000823",1,29.6,888
"E000823.29.7","E000823",1,29.7,891
"E000823.31.6","E000823",1,31.6,948
"E000823.32.7","E000823",1,32.7,981
"E000823.34.3","E000823",1,34.3,1029
"E000823.35.0","E000823",1,35,1050
"E001958.2.0","E001958",2,2,60
"E001958.2.9","E001958",2,2.9,87
"E001958.4.2","E001958",2,4.2,126
"E001958.5.3","E001958",2,5.3,159
"E001958.6.2","E001958",2,6.2,186
"E001958.7.3","E001958",2,7.3,219
"E001958.9.5","E001958",2,9.5,285
"E001958.10.5","E001958",2,10.5,315
"E001958.11.8","E001958",2,11.8,354
"E001958.12.6","E001958",2,12.6,378
"E001958.13.1","E001958",2,13.1,393
"E001958.14.2","E001958",2,14.2,426
"E001958.15.5","E001958",2,15.5,465
"E001958.17.4","E001958",2,17.4,522
"E001958.18.0","E001958",2,18,540
"E001958.19.1","E001958",2,19.1,573
"E001958.24.1","E001958",2,24.1,723
"E001958.26.3","E001958",2,26.3,789
"E001958.27.6","E001958",2,27.6,828
"E001958.28.2","E001958",2,28.2,846
"E001958.29.4","E001958",2,29.4,882
"E001958.30.3","E001958",2,30.3,909
"E001958.31.6","E001958",2,31.6,948
"E001958.32.2","E001958",2,32.2,966
"E001958.36.0","E001958",2,36,1080
"E003188.1.5","E003188",3,1.5,45
"E003188.2.6","E003188",3,2.6,78
"E003188.3.6","E003188",3,3.6,108
"E003188.4.5","E003188",3,4.5,135
"E003188.5.5","E003188",3,5.5,165
"E003188.6.5","E003188",3,6.5,195
"E003188.7.6","E003188",3,7.6,228
"E003188.8.4","E003188",3,8.4,252
"E003188.9.7","E003188",3,9.7,291
"E003188.10.7","E003188",3,10.7,321
"E003188.11.6","E003188",3,11.6,348
"E003188.12.6","E003188",3,12.6,378
"E003188.14.4","E003188",3,14.4,432
"E003188.14.9","E003188",3,14.9,447
"E003188.15.7","E003188",3,15.7,471
"E003188.16.5","E003188",3,16.5,495
"E003188.17.4","E003188",3,17.4,522
"E003188.18.9","E003188",3,18.9,567
"E003188.20.0","E003188",3,20,600
"E003188.21.1","E003188",3,21.1,633
